object_id,cluster_id,rgb_value,occurence,r_value,g_value,b_value,h_value,s_value,v_value
1,Cluster4,"(165, 105, 75)",9,165,105,75,20,0.55,0.65
1,Cluster1,"(210, 165, 120)",12,210,165,120,30,0.43,0.82
1,Cluster3,"(240, 225, 195)",70,240,225,195,40,0.19,0.94
1,Cluster2,"(75, 90, 60)",4,75,90,60,90,0.33,0.35
1,Cluster5,"(15, 30, 15)",11,15,30,15,120,0.5,0.12
2,Cluster4,"(75, 45, 45)",18,75,45,45,0,0.4,0.29
2,Cluster3,"(135, 135, 105)",26,135,135,105,60,0.22,0.53
2,Cluster2,"(90, 90, 75)",74,90,90,75,60,0.17,0.35
2,Cluster1,"(0, 0, 0)",116,0,0,0,0,0,0
2,Cluster5,"(45, 45, 45)",53,45,45,45,0,0,0.18
3,Cluster4,"(105, 90, 60)",95,105,90,60,40,0.43,0.41
3,Cluster5,"(150, 135, 105)",91,150,135,105,40,0.3,0.59
3,Cluster2,"(180, 165, 135)",99,180,165,135,40,0.25,0.71
3,Cluster1,"(75, 60, 45)",153,75,60,45,30,0.4,0.29
3,Cluster3,"(30, 30, 15)",163,30,30,15,60,0.5,0.12
4,Cluster5,"(135, 120, 90)",101,135,120,90,40,0.33,0.53
4,Cluster4,"(90, 75, 60)",137,90,75,60,30,0.33,0.35
4,Cluster1,"(60, 45, 45)",67,60,45,45,0,0.25,0.24
4,Cluster3,"(225, 225, 210)",53,225,225,210,60,0.07,0.88
5,Cluster5,"(135, 105, 90)",37,135,105,90,20,0.33,0.53
5,Cluster4,"(165, 150, 120)",97,165,150,120,40,0.27,0.65
5,Cluster3,"(45, 45, 30)",96,45,45,30,60,0.33,0.18
5,Cluster2,"(180, 180, 165)",51,180,180,165,60,0.08,0.71
6,Cluster1,"(180, 135, 90)",27,180,135,90,30,0.5,0.71
6,Cluster4,"(135, 90, 60)",31,135,90,60,24,0.56,0.53
6,Cluster2,"(225, 195, 165)",50,225,195,165,30,0.27,0.88
6,Cluster3,"(75, 60, 30)",62,75,60,30,40,0.6,0.29
7,Cluster3,"(90, 75, 45)",74,90,75,45,40,0.5,0.35
7,Cluster5,"(135, 120, 105)",86,135,120,105,30,0.22,0.53
7,Cluster4,"(165, 180, 195)",2,165,180,195,210,0.15,0.76
7,Cluster2,"(210, 210, 210)",20,210,210,210,0,0,0.82
8,Cluster3,"(135, 105, 60)",41,135,105,60,36,0.56,0.53
8,Cluster5,"(180, 165, 120)",35,180,165,120,45,0.33,0.71
8,Cluster2,"(60, 30, 15)",19,60,30,15,20,0.75,0.24
9,Cluster1,"(120, 105, 60)",32,120,105,60,45,0.5,0.47
9,Cluster5,"(150, 150, 105)",5,150,150,105,60,0.3,0.59
9,Cluster2,"(180, 180, 135)",4,180,180,135,60,0.25,0.71
9,Cluster3,"(15, 30, 30)",14,15,30,30,180,0.5,0.12
10,Cluster3,"(210, 180, 150)",69,210,180,150,30,0.29,0.82
10,Cluster4,"(105, 75, 60)",57,105,75,60,20,0.43,0.41
10,Cluster1,"(60, 45, 30)",144,60,45,30,30,0.5,0.24
